Main distributer code,main distibuter  name,sub distributer code,sub distributer name,Seller Code,Seller Name,Seller OrderReason,Seller Type,Buyer Code,Buyer Name,Buyer Type,BASIC Model,QTY,VALUE
KERR032,BISMILLAH TRADE LINKS,KERD002496,ANSCARETELESERVICES,KERD002496,ANS CARE TELE SERVICES,DEMO,SMD,KERD002799,G Smart mobile,Dealer,A076BB,1,15384
KERR032,BISMILLAH TRADE LINKS,KERD002496,ANSCARETELESERVICES,KERD002496,ANS CARE TELE SERVICES,DEMO,SMD,KERD1446,MOBILE MAGIC UPPALA,Dealer,A076BB,1,15384
KERR032,BISMILLAH TRADE LINKS,KERD002496,ANSCARETELESERVICES,KERD002496,ANS CARE TELE SERVICES,Normal,SMD,KERD00024636,66 Mobiles,Dealer,A066BD,1,12018
KERR032,BISMILLAH TRADE LINKS,KERD002496,ANSCARETELESERVICES,KERD002496,ANS CARE TELE SERVICES,Normal,SMD,KERD00024636,66 Mobiles,Dealer,A076BB,1,15384
KERR032,BISMILLAH TRADE LINKS,KERD002496,ANSCARETELESERVICES,KERD002496,ANS CARE TELE SERVICES,Normal,SMD,KERD00024636,66 Mobiles,Dealer,A176NL,2,36536
KERR032,BISMILLAH TRADE LINKS,KERD002496,ANSCARETELESERVICES,KERD002496,ANS CARE TELE SERVICES,Normal,SMD,KERD00024636,66 Mobiles,Dealer,A366EK,2,70190
KERR032,BISMILLAH TRADE LINKS,KERD002496,ANSCARETELESERVICES,KERD002496,ANS CARE TELE SERVICES,Normal,SMD,KERD00024636,66 Mobiles,Dealer,E176BA,2,32998
KERR032,BISMILLAH TRADE LINKS,KERD002496,ANSCARETELESERVICES,KERD002496,ANS CARE TELE SERVICES,Normal,SMD,KERD00024697,I Max Mobiles Gadgets,Dealer,A076BB,1,15384
KERR032,BISMILLAH TRADE LINKS,KERD002496,ANSCARETELESERVICES,KERD002496,ANS CARE TELE SERVICES,Normal,SMD,KERD00024697,I Max Mobiles Gadgets,Dealer,A176NL,1,18268
KERR032,BISMILLAH TRADE LINKS,KERD002496,ANSCARETELESERVICES,KERD002496,ANS CARE TELE SERVICES,Normal,SMD,KERD00024697,I Max Mobiles Gadgets,Dealer,A176NN,1,22595
KERR032,BISMILLAH TRADE LINKS,KERD002496,ANSCARETELESERVICES,KERD002496,ANS CARE TELE SERVICES,Normal,SMD,KERD00024697,I Max Mobiles Gadgets,Dealer,A366EK,1,35095
KERR032,BISMILLAH TRADE LINKS,KERD002496,ANSCARETELESERVICES,KERD002496,ANS CARE TELE SERVICES,Normal,SMD,KERD00024697,I Max Mobiles Gadgets,Dealer,E176BA,1,16499
KERR032,BISMILLAH TRADE LINKS,KERD002496,ANSCARETELESERVICES,KERD002496,ANS CARE TELE SERVICES,Normal,SMD,KERD00024697,I Max Mobiles Gadgets,Dealer,X135GA,1,18999
KERR032,BISMILLAH TRADE LINKS,KERD002496,ANSCARETELESERVICES,KERD002496,ANS CARE TELE SERVICES,Normal,SMD,KERD001614,GM NEERCHAL,Dealer,A066BD,1,12018
